ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
52,NARIÑO,52390,LA TOLA,52390009,2024,7,4478,2834.0,27.97,8.07,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390016,2024,7,4799,1757.0,27.01,8.0,2.56027333,-78.23506694
52,NARIÑO,52427,MAGÜÍ,52427913,2024,7,0,0.0,0.0,0.0,1.906858429,-78.04473644
52,NARIÑO,52427,MAGÜÍ,52427915,2024,7,0,0.0,0.0,0.0,1.906858429,-78.04473644
52,NARIÑO,52473,MOSQUERA,52473010,2024,7,2725,961.0,15.05,10.17,2.442493698,-78.438827
52,NARIÑO,52490,OLAYA HERRERA,52490913,2024,7,2438,739.0,13.56,6.48,2.287856547,-78.31219024
52,NARIÑO,52621,ROBERTO PAYAN,52621912,2024,7,4916,3030.0,27.82,8.51,1.897581156,-78.3811163
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,2024,7,8110,3002.0,50.4,7.16,1.574550638,-78.61540963
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,2024,7,24929,9692.0,105.6,10.49,1.574550638,-78.61540963
52,NARIÑO,52696,SANTA BÁRBARA,52696014,2024,7,3178,1695.0,20.67,6.27,2.494420411,-77.98256461
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,2024,7,2684,1626.0,22.4,5.24,0.05947197,-75.06479327
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,2024,7,5757,1043.0,39.47,8.35,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109105,2024,7,2224,642.0,10.69,8.32,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,2024,7,101752,35905.0,207.86,23.14,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,2024,7,4166,3331.0,22.69,7.44,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,2024,7,7990,3515.0,32.64,10.18,3.493340766,-77.11872832
97,VAUPÉS,97161,CARURÚ,97161000,2024,7,27690,7064.0,74.89,16.43,1.052762314,-71.33093035
97,VAUPÉS,97001,MITÚ,97001000,2024,7,1494513,368701.0,3077.97,23.58,1.06148231,-70.46688401
97,VAUPÉS,97666,TARAIRA,97666000,2024,7,36778,9619.0,122.94,12.14,-0.719822209,-69.90776202
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,2024,5,132215,41907.0,286.4,24.0,-3.631323222,-70.47199039
91,AMAZONAS,91798,TARAPACA (ANM),91798000,2024,5,28132,12662.0,102.6,10.16,-2.451794264,-70.00651535
5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,5873010,2024,5,2686,1110.0,27.46,4.19,6.453351334,-76.69504802
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,2024,5,1331271,284638.0,2190.28,23.59,13.3511096,-81.37388549
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,2024,5,64368,30561.0,247.59,10.9,10.46343362,-75.45889915
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,2024,5,13543,4513.0,52.58,10.2,10.46343362,-75.45889915
19,CAUCA,19809,TIMBIQUÍ,19809014,2024,5,4286,1264.0,31.25,7.58,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809010,2024,5,4502,1728.0,50.4,5.54,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809003,2024,5,5778,4333.0,28.4,7.56,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809026,2024,5,7285,3271.0,37.34,8.0,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809007,2024,5,6623,4522.0,37.39,7.08,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809009,2024,5,3496,1019.0,20.35,6.45,2.699475127,-77.49131577
27,CHOCÓ,27006,ACANDÍ,27006000,2024,5,598738,171032.0,1554.78,18.53,8.383938499,-77.26560256
27,CHOCÓ,27006,ACANDÍ,27006003,2024,5,420977,142002.0,878.68,21.41,8.383938499,-77.26560256
27,CHOCÓ,27006,ACANDÍ,27006007,2024,5,17322,6530.0,77.66,9.21,8.383938499,-77.26560256
27,CHOCÓ,27025,ALTO BAUDO,27025000,2024,5,56244,19018.0,128.74,23.42,5.636740989,-77.0842154
27,CHOCÓ,27075,BAHÍA SOLANO,27075000,2024,5,874026,247553.0,1664.96,23.44,6.162762775,-77.41653534
27,CHOCÓ,27075,BAHÍA SOLANO,27075002,2024,5,188024,68687.0,378.05,23.18,6.162762775,-77.41653534
27,CHOCÓ,27077,BAJO BAUDÓ,27077905,2024,5,3552,1341.0,17.44,8.0,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077029,2024,5,836,359.0,7.01,5.16,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077026,2024,5,4866,1370.0,37.38,6.13,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077008,2024,5,705,288.0,5.71,7.3,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077000,2024,5,246317,95726.0,479.42,22.43,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077916,2024,5,4192,1769.0,26.42,7.22,4.492865435,-77.08271352
27,CHOCÓ,27077,BAJO BAUDÓ,27077019,2024,5,4294,5965.0,31.38,5.25,4.492865435,-77.08271352
27,CHOCÓ,27099,BOJAYÁ,27099000,2024,5,84005,23959.0,299.23,12.24,6.474666885,-77.09933025
27,CHOCÓ,27099,BOJAYÁ,27099005,2024,5,12426,4213.0,73.6,7.39,6.474666885,-77.09933025
27,CHOCÓ,27099,BOJAYÁ,27099008,2024,5,12349,3815.0,60.0,8.16,6.474666885,-77.09933025
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250023,2024,5,3527,1038.0,18.87,7.16,4.272940191,-76.98785828
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,2024,5,36700,17118.0,256.34,6.0,4.272940191,-76.98785828
27,CHOCÓ,27372,JURADO,27372000,2024,5,180964,63060.0,331.2,23.47,7.103338868,-77.67973662
27,CHOCÓ,27425,MEDIO ATRATO,27425000,2024,5,17901,8923.0,68.0,12.36,6.033880098,-76.6734697
